"@timestamp","_id","_ignored","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version",collector,"ecs.version","host.architecture","host.hostname","host.id","host.ip","host.mac","host.name","host.os.build","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.fingerprint","log.file.idxhi","log.file.idxlo","log.file.path","log.file.vol","log.offset","log_type",message,"source_os"
"Oct 25, 2025 @ 06:19:58.338",FxC5JJoBtjGoZl1FX5M7,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"736,982","windows_firewall","2025-10-25 06:07:28 ALLOW TCP 192.168.235.129 192.168.235.128 63127 9200 0 - 0 0 0 - - - SEND 5928",windows
"Oct 25, 2025 @ 06:19:58.338",GBC5JJoBtjGoZl1FX5M7,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"737,082","windows_firewall","2025-10-25 06:07:31 ALLOW TCP 192.168.235.129 192.168.235.128 63128 9200 0 - 0 0 0 - - - SEND 6532",windows
"Oct 25, 2025 @ 06:19:58.338",GRC5JJoBtjGoZl1FX5M7,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"737,182","windows_firewall","2025-10-25 06:07:39 ALLOW UDP 192.168.235.129 192.168.235.2 53377 53 0 - - - - - - - SEND 4680",windows
"Oct 25, 2025 @ 06:19:58.338",GhC5JJoBtjGoZl1FlZPv,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"737,278","windows_firewall","2025-10-25 06:07:39 ALLOW UDP 192.168.235.129 192.168.235.2 63938 53 0 - - - - - - - SEND 4680",windows
"Oct 25, 2025 @ 06:19:44.335",FhC5JJoBtjGoZl1FX5M7,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"736,886","windows_firewall","2025-10-25 06:07:23 ALLOW UDP 192.168.235.129 192.168.235.2 49624 53 0 - - - - - - - SEND 2144",windows
"Oct 25, 2025 @ 06:19:30.332",8RC4JJoBtjGoZl1F8ZLU,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"734,172","windows_firewall","2025-10-25 06:07:11 DROP UDP 192.168.235.1 224.0.0.252 53268 5355 50 - - - - - - - RECEIVE 2144",windows
"Oct 25, 2025 @ 06:19:30.332",8hC4JJoBtjGoZl1F8ZLU,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"734,269","windows_firewall","2025-10-25 06:07:12 DROP UDP fe80::7912:efcb:4bdb:1fc5 ff02::1:3 53268 5355 70 - - - - - - - RECEIVE 2144",windows
"Oct 25, 2025 @ 06:19:30.332",8xC4JJoBtjGoZl1F8ZLU,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"734,376","windows_firewall","2025-10-25 06:07:12 DROP UDP 192.168.235.1 224.0.0.252 53268 5355 50 - - - - - - - RECEIVE 2144",windows
"Oct 25, 2025 @ 06:19:30.332",9BC4JJoBtjGoZl1F8ZLU,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"734,473","windows_firewall","2025-10-25 06:07:14 ALLOW TCP 192.168.235.129 192.168.235.128 54668 9200 0 - 0 0 0 - - - SEND 5928",windows
"Oct 25, 2025 @ 06:19:30.332",9RC4JJoBtjGoZl1F8ZLU,"-",".ds-filebeat-9.1.5-2025.10.21-000001","-","8521d706-1129-4322-abd0-c3cc88d7dd83",bgent,"a8067263-efda-4bf1-8169-b5a46c1b4f82",bgent,filebeat,"9.1.5",filebeat,"8.0.0","x86_64",bgent,"7e128e12-ffb8-47bc-89cb-35cda7f2059b","fe80::60cf:21fe:33ae:f647, 192.168.235.129","00-0C-29-DD-E4-7A",bgent,"26200.6899",windows,"10.0.26100.6899 (WinBuild.160101.0800)","Windows 11 Pro","Windows 11 Pro",windows,windows,"10.0",filestream,c182dde54fed0c1d188bcd539b310a0206ab8bfb22014cd3a2c8c7cc064ce9f4,393216,29247,"C:\Windows\System32\LogFiles\Firewall\pfirewall.log",350103819,"734,573","windows_firewall","2025-10-25 06:07:15 ALLOW TCP 192.168.235.129 23.53.2.120 54669 443 0 - 0 0 0 - - - SEND 5784",windows
