timestamp,_id,_ignored,_index,_score,agent.ephemeral_id,agent.hostname,agent.id,agent.name,agent.type,agent.version,ecs.version,event.action,event.category,event.code,event.created,event.ingested,event.kind,event.module,event.outcome,event.provider,event.sequence,event.type,host.architecture,host.hostname,host.id,host.ip,host.mac,host.name,host.os.build,host.os.family,host.os.kernel,host.os.name,host.os.name.text,host.os.platform,host.os.type,host.os.version,log.level,message,powershell.engine.new_state,powershell.engine.previous_state,powershell.engine.version,powershell.file.script_block_hash,powershell.file.script_block_id,powershell.file.script_block_text,powershell.process.executable_version,powershell.provider.name,powershell.provider.new_state,powershell.runspace_id,powershell.sequence,powershell.total,process.args,process.args_count,process.command_line,process.command_line.text,process.entity_id,process.executable,process.executable.text,process.hash.sha256,process.name,process.name.text,process.parent.args,process.parent.args_count,process.parent.command_line,process.parent.command_line.text,process.parent.entity_id,process.parent.executable,process.parent.executable.text,process.parent.name,process.parent.name.text,process.parent.pid,process.pe.company,process.pe.description,process.pe.file_version,process.pe.original_file_name,process.pe.product,process.pid,process.title,process.title.text,process.working_directory,process.working_directory.text,related.hash,related.user,source.domain,tags,user.domain,user.id,user.name,user.name.text,user.target.domain,user.target.id,user.target.name,user.target.name.text,winlog.activity_id,winlog.channel,winlog.computer_name,winlog.event_data.AuthenticationPackageName,winlog.event_data.Binary,winlog.event_data.CallerProcessId,winlog.event_data.CallerProcessName,winlog.event_data.Company,winlog.event_data.Description,winlog.event_data.ElevatedToken,winlog.event_data.FileVersion,winlog.event_data.ImpersonationLevel,winlog.event_data.IntegrityLevel,winlog.event_data.IpAddress,winlog.event_data.IpPort,winlog.event_data.KeyLength,winlog.event_data.LmPackageName,winlog.event_data.LogonGuid,winlog.event_data.LogonId,winlog.event_data.LogonProcessName,winlog.event_data.LogonType,winlog.event_data.ParentUser,winlog.event_data.PrivilegeList,winlog.event_data.Product,winlog.event_data.RestrictedAdminMode,winlog.event_data.SubjectDomainName,winlog.event_data.SubjectLogonId,winlog.event_data.SubjectUserName,winlog.event_data.SubjectUserSid,winlog.event_data.TargetDomainName,winlog.event_data.TargetLinkedLogonId,winlog.event_data.TargetLogonId,winlog.event_data.TargetOutboundDomainName,winlog.event_data.TargetOutboundUserName,winlog.event_data.TargetSid,winlog.event_data.TargetUserName,winlog.event_data.TargetUserSid,winlog.event_data.TerminalSessionId,winlog.event_data.TransmittedServices,winlog.event_data.VirtualAccount,winlog.event_data.param2,winlog.event_id,winlog.keywords,winlog.logon.id,winlog.logon.type,winlog.opcode,winlog.process.pid,winlog.process.thread.id,winlog.provider_guid,winlog.provider_name,winlog.record_id,winlog.task,winlog.user.domain,winlog.user.identifier,winlog.user.name,winlog.user.type,winlog.version
"Oct 10, 2025 @ 17:51:13.166",t51RzZkBjTG-dbC0LsCi,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process terminated,process,5,"Oct 10, 2025 @ 17:51:14.561","Oct 10, 2025 @ 17:51:13.697",event,sysmon,-,Microsoft-Windows-Sysmon,-,end,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process terminated:
RuleName: -
UtcTime: 2025-10-10 08:51:13.166
ProcessGuid: {764ACCEB-C8F0-68E8-B504-000000000B00}
ProcessId: 3228
Image: C:\Windows\System32\LogonUI.exe
User: NT AUTHORITY\SYSTEM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{764ACCEB-C8F0-68E8-B504-000000000B00},C:\Windows\System32\LogonUI.exe,C:\Windows\System32\LogonUI.exe,-,LogonUI.exe,LogonUI.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,228",-,-,-,-,-,SYSTEM,-,sysmon,NT AUTHORITY,S-1-5-18,SYSTEM,SYSTEM,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138786,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3
"Oct 10, 2025 @ 17:51:09.663",tp1RzZkBjTG-dbC0LsCi,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process terminated,process,5,"Oct 10, 2025 @ 17:51:11.539","Oct 10, 2025 @ 17:51:13.697",event,sysmon,-,Microsoft-Windows-Sysmon,-,end,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process terminated:
RuleName: -
UtcTime: 2025-10-10 08:51:09.663
ProcessGuid: {764ACCEB-C7CF-68E8-A504-000000000B00}
ProcessId: 4388
Image: C:\Program Files (x86)\Internet Explorer\ielowutil.exe
User: DESKTOP-6K4NMNC\hacker",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{764ACCEB-C7CF-68E8-A504-000000000B00},C:\Program Files (x86)\Internet Explorer\ielowutil.exe,C:\Program Files (x86)\Internet Explorer\ielowutil.exe,-,ielowutil.exe,ielowutil.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,388",-,-,-,-,-,hacker,-,sysmon,DESKTOP-6K4NMNC,S-1-5-18,hacker,hacker,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138785,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3
"Oct 10, 2025 @ 17:50:56.357",tZ1RzZkBjTG-dbC0LsCi,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process creation,process,1,"Oct 10, 2025 @ 17:51:04.723","Oct 10, 2025 @ 17:51:13.692",event,sysmon,-,Microsoft-Windows-Sysmon,-,start,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process Create:
RuleName: -
UtcTime: 2025-10-10 08:50:56.357
ProcessGuid: {764ACCEB-C8F0-68E8-B504-000000000B00}
ProcessId: 3228
Image: C:\Windows\System32\LogonUI.exe
FileVersion: 10.0.19041.1 (WinBuild.160101.0800)
Description: Windows Logon User Interface Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: logonui.exe
CommandLine: ""LogonUI.exe"" /flags:0x0 /state0:0xa33ca855 /state1:0x41c64e6d
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {764ACCEB-9BBB-68E8-E703-000000000000}
LogonId: 0x3e7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: SHA256=CF01E46C146699F6C0E3DD447043F59BC9438DBBCB9563AF6C60EBC6D82727F2
ParentProcessGuid: {764ACCEB-9BBB-68E8-0A00-000000000B00}
ParentProcessId: 588
ParentImage: C:\Windows\System32\winlogon.exe
ParentCommandLine: winlogon.exe
ParentUser: NT AUTHORITY\SYSTEM",-,-,-,-,-,-,-,-,-,-,-,-,"LogonUI.exe, /flags:0x0, /state0:0xa33ca855, /state1:0x41c64e6d",4,"""LogonUI.exe"" /flags:0x0 /state0:0xa33ca855 /state1:0x41c64e6d","""LogonUI.exe"" /flags:0x0 /state0:0xa33ca855 /state1:0x41c64e6d",{764ACCEB-C8F0-68E8-B504-000000000B00},C:\Windows\System32\LogonUI.exe,C:\Windows\System32\LogonUI.exe,cf01e46c146699f6c0e3dd447043f59bc9438dbbcb9563af6c60ebc6d82727f2,LogonUI.exe,LogonUI.exe,winlogon.exe,1,winlogon.exe,winlogon.exe,{764ACCEB-9BBB-68E8-0A00-000000000B00},C:\Windows\System32\winlogon.exe,C:\Windows\System32\winlogon.exe,winlogon.exe,winlogon.exe,588,Microsoft Corporation,Windows Logon User Interface Host,10.0.19041.1 (WinBuild.160101.0800),logonui.exe,Microsoft® Windows® Operating System,"3,228",-,-,C:\WINDOWS\system32\,C:\WINDOWS\system32\,cf01e46c146699f6c0e3dd447043f59bc9438dbbcb9563af6c60ebc6d82727f2,SYSTEM,-,sysmon,NT AUTHORITY,S-1-5-18,SYSTEM,SYSTEM,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,Microsoft Corporation,Windows Logon User Interface Host,-,10.0.19041.1 (WinBuild.160101.0800),-,System,-,-,-,-,{764ACCEB-9BBB-68E8-E703-000000000000},0x3e7,-,-,NT AUTHORITY\SYSTEM,-,Microsoft® Windows® Operating System,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138784,Process Create (rule: ProcessCreate),NT AUTHORITY,S-1-5-18,SYSTEM,User,5
"Oct 10, 2025 @ 17:50:52.073",7p2dzZkBjTG-dbC0ucAb,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.0.0,None,-,32,"Oct 10, 2025 @ 19:14:42.085","Oct 10, 2025 @ 19:14:49.693",event,-,-,e1i65x64,-,-,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Intel(R) 82574L Gigabit Network Connection
 Network link has been established at 1Gbps full duplex.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,System,DESKTOP-6K4NMNC,-,0000040002003000000000002000046000000000000000000000000000000000000000000000000020000460FF010000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Intel(R) 82574L Gigabit Network Connection,32,Classic,-,-,Info,4,"1,668",-,e1i65x64,14837,None,-,-,-,-,-
"Oct 10, 2025 @ 17:50:51.996",7Z2dzZkBjTG-dbC0ucAb,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.0.0,None,-,27,"Oct 10, 2025 @ 19:14:42.084","Oct 10, 2025 @ 19:14:49.693",event,-,-,e1i65x64,-,-,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,warning,"Intel(R) 82574L Gigabit Network Connection
 Network link is disconnected.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,System,DESKTOP-6K4NMNC,-,0000040002003000000000001B0004A00000000000000000000000000000000000000000000000001B0004A000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Intel(R) 82574L Gigabit Network Connection,27,Classic,-,-,Info,4,"2,500",-,e1i65x64,14836,None,-,-,-,-,-
"Oct 10, 2025 @ 17:50:08.985",sJ1QzZkBjTG-dbC0WcDM,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process terminated,process,5,"Oct 10, 2025 @ 17:50:10.305","Oct 10, 2025 @ 17:50:19.211",event,sysmon,-,Microsoft-Windows-Sysmon,-,end,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process terminated:
RuleName: -
UtcTime: 2025-10-10 08:50:08.985
ProcessGuid: {764ACCEB-C8C0-68E8-B304-000000000B00}
ProcessId: 6196
Image: C:\Windows\System32\cmd.exe
User: DESKTOP-6K4NMNC\hacker",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{764ACCEB-C8C0-68E8-B304-000000000B00},C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,-,cmd.exe,cmd.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,196",-,-,-,-,-,hacker,-,sysmon,DESKTOP-6K4NMNC,S-1-5-18,hacker,hacker,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138779,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3
"Oct 10, 2025 @ 17:50:08.985",sZ1QzZkBjTG-dbC0WcDM,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process terminated,process,5,"Oct 10, 2025 @ 17:50:10.305","Oct 10, 2025 @ 17:50:19.211",event,sysmon,-,Microsoft-Windows-Sysmon,-,end,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process terminated:
RuleName: -
UtcTime: 2025-10-10 08:50:08.985
ProcessGuid: {764ACCEB-C032-68E8-3B04-000000000B00}
ProcessId: 7108
Image: C:\Windows\System32\conhost.exe
User: DESKTOP-6K4NMNC\hacker",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{764ACCEB-C032-68E8-3B04-000000000B00},C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,-,conhost.exe,conhost.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,108",-,-,-,-,-,hacker,-,sysmon,DESKTOP-6K4NMNC,S-1-5-18,hacker,hacker,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138780,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3
"Oct 10, 2025 @ 17:50:08.985",sp1QzZkBjTG-dbC0WcDM,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process terminated,process,5,"Oct 10, 2025 @ 17:50:10.305","Oct 10, 2025 @ 17:50:19.212",event,sysmon,-,Microsoft-Windows-Sysmon,-,end,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process terminated:
RuleName: -
UtcTime: 2025-10-10 08:50:08.985
ProcessGuid: {764ACCEB-C032-68E8-3A04-000000000B00}
ProcessId: 6892
Image: C:\Users\hacker\Downloads\Report_2025.pdf.exe
User: DESKTOP-6K4NMNC\hacker",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{764ACCEB-C032-68E8-3A04-000000000B00},C:\Users\hacker\Downloads\Report_2025.pdf.exe,C:\Users\hacker\Downloads\Report_2025.pdf.exe,-,Report_2025.pdf.exe,Report_2025.pdf.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,892",-,-,-,-,-,hacker,-,sysmon,DESKTOP-6K4NMNC,S-1-5-18,hacker,hacker,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138781,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3
"Oct 10, 2025 @ 17:50:08.985",s51QzZkBjTG-dbC0WcDM,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process terminated,process,5,"Oct 10, 2025 @ 17:50:10.305","Oct 10, 2025 @ 17:50:19.212",event,sysmon,-,Microsoft-Windows-Sysmon,-,end,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process terminated:
RuleName: -
UtcTime: 2025-10-10 08:50:08.985
ProcessGuid: {764ACCEB-C033-68E8-4004-000000000B00}
ProcessId: 9192
Image: C:\Users\hacker\Downloads\Report_2025.pdf.exe
User: DESKTOP-6K4NMNC\hacker",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{764ACCEB-C033-68E8-4004-000000000B00},C:\Users\hacker\Downloads\Report_2025.pdf.exe,C:\Users\hacker\Downloads\Report_2025.pdf.exe,-,Report_2025.pdf.exe,Report_2025.pdf.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,192",-,-,-,-,-,hacker,-,sysmon,DESKTOP-6K4NMNC,S-1-5-18,hacker,hacker,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138782,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3
"Oct 10, 2025 @ 17:50:08.985",tJ1QzZkBjTG-dbC0WcDM,-,.ds-winlogbeat-9.1.4-2025.10.08-000001,-,a96f4391-d30d-458a-8645-a51b6ee8607b,DESKTOP-6K4NMNC,21b73445-d4ab-4158-97f3-b140abb4e724,DESKTOP-6K4NMNC,winlogbeat,9.1.4,8.17.0,Process terminated,process,5,"Oct 10, 2025 @ 17:50:10.305","Oct 10, 2025 @ 17:50:19.212",event,sysmon,-,Microsoft-Windows-Sysmon,-,end,x86_64,DESKTOP-6K4NMNC,764acceb-e4eb-428c-b79b-72175e2657a8,"fe80::d5ae:a6ab:e52a:b875, 192.168.2.128",00-0C-29-CF-A9-38,desktop-6k4nmnc,19045.6332,windows,10.0.19041.6328 (WinBuild.160101.0800),Windows 10 Pro,Windows 10 Pro,windows,windows,10,information,"Process terminated:
RuleName: -
UtcTime: 2025-10-10 08:50:08.985
ProcessGuid: {764ACCEB-C8C0-68E8-B404-000000000B00}
ProcessId: 708
Image: C:\Windows\System32\taskkill.exe
User: DESKTOP-6K4NMNC\hacker",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{764ACCEB-C8C0-68E8-B404-000000000B00},C:\Windows\System32\taskkill.exe,C:\Windows\System32\taskkill.exe,-,taskkill.exe,taskkill.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,708,-,-,-,-,-,hacker,-,sysmon,DESKTOP-6K4NMNC,S-1-5-18,hacker,hacker,-,-,-,-,-,Microsoft-Windows-Sysmon/Operational,DESKTOP-6K4NMNC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,Info,"3,172","3,188",{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,138783,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3
